step,action,entropy,logit_0,logit_1,action_prob,position
80,0,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.4968230128288269,
160,1,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.5031769871711731,
240,0,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.4968230128288269,
320,0,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.4968230128288269,
400,0,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.4968230128288269,
480,1,0.6931270956993103,-0.6995214819908142,-0.6868133544921875,0.5031770467758179,
560,1,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.5031769871711731,
640,1,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.5031769871711731,
720,0,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.4968230128288269,
800,0,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.4968230128288269,
880,0,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.4968230128288269,
960,0,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.4968230128288269,
1040,1,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.5031769871711731,
1120,1,0.6931270360946655,-0.6995214223861694,-0.6868133544921875,0.5031769871711731,
1200,1,0.6931270360946655,-0.6995216012001038,-0.686813235282898,0.5031770467758179,
1280,0,0.6931270360946655,-0.699521541595459,-0.686813235282898,0.49682295322418213,
1360,1,0.6931235790252686,-0.7000439167022705,-0.6862976551055908,0.5034365057945251,
1440,1,0.6931252479553223,-0.6997962594032288,-0.6865420341491699,0.5033134818077087,
1520,0,0.693126916885376,-0.699531614780426,-0.6868032813072205,0.4968179762363434,
1600,0,0.6931228637695312,-0.7001415491104126,-0.6862013339996338,0.4965150058269501,
1680,1,0.6931268572807312,-0.6995454430580139,-0.6867896318435669,0.5031889081001282,
1760,1,0.6931228041648865,-0.7001487612724304,-0.6861941814422607,0.5034886002540588,
1840,0,0.6931228041648865,-0.70014888048172,-0.6861940622329712,0.4965113401412964,
1920,1,0.6931228637695312,-0.7001489400863647,-0.686194121837616,0.5034886598587036,
2000,1,0.6931228041648865,-0.70014888048172,-0.6861940622329712,0.5034886598587036,
2080,0,0.6931260824203491,-0.6996666193008423,-0.6866700053215027,0.4967508912086487,
2160,1,0.6931228041648865,-0.70014888048172,-0.6861940622329712,0.5034886598587036,
2240,1,0.6931228637695312,-0.7001453638076782,-0.6861976385116577,0.5034868717193604,
2320,1,0.693132758140564,-0.6985398530960083,-0.6877835392951965,0.502689003944397,
2400,1,0.6931328177452087,-0.6985208988189697,-0.6878021359443665,0.502679705619812,
2480,1,0.6931328177452087,-0.698517382144928,-0.687805712223053,0.502677857875824,
2560,0,0.6931328177452087,-0.698517382144928,-0.687805712223053,0.49732208251953125,
2640,1,0.6931328177452087,-0.698517382144928,-0.687805712223053,0.502677857875824,
2720,0,0.6931328177452087,-0.698517382144928,-0.687805712223053,0.49732208251953125,
2800,1,0.6931328177452087,-0.698517382144928,-0.687805712223053,0.502677857875824,
2880,0,0.6931328177452087,-0.698517382144928,-0.687805712223053,0.49732208251953125,
2960,0,0.6931328177452087,-0.698517382144928,-0.687805712223053,0.49732208251953125,
